10001	1
10002	2
10003	3
10004	4
10005	5
10006	6
10007	7
10008	8
10009	9
10010	10
10011	11
10012	12
10013	13
10014	14
10015	15
10016	16
10017	17
10018	18
10019	19
10020	20
10021	21
10022	22
10023	23
10024	24
10025	25
10026	26
10027	27
10028	28
10029	29
10030	30
10031	31
10032	32
10033	33
10034	34
10035	35
10036	36
10037	37
10038	38
10039	39
10040	40
10041	41
10042	42
10043	43
10044	44
10045	45
10046	46
10047	47
10048	48
10049	49
10050	50
10051	51
10052	52
10053	53
10054	54
10055	55
10056	56
10057	57
10058	58
10059	59
10060	60
10061	61
10062	62
10063	63
10064	64
10065	65
10066	66
10067	67
10068	68
10069	69
10070	70
10071	71
10072	72
10073	73
10074	74
10075	75
10076	76
10077	77
10078	78
10079	79
10080	80
10081	81
10082	82
10083	83
10084	84
10085	85
10086	86
10087	87
10088	88
10089	89
10090	90
10091	91
10092	92
10093	93
10094	94
10095	95
10096	96
10097	97
10098	98
10099	99
10100	100
